"Category","List","Unique IPs","Common IPs","Their %","This %"
"unroutable","fullbogons","599 230 464","599 230 464","100.00%","96.73%"
"unroutable","iblocklist_cidr_report_bogons","605 814 916","596 040 697","98.39%","96.22%"
"unroutable","cidr_report_bogons","605 814 916","596 040 697","98.39%","96.22%"
"unroutable","bogons","592 708 608","592 708 608","100.00%","95.68%"
"unroutable","iblocklist_bogons","643 576 487","547 966 515","85.14%","88.46%"
"unroutable","iblocklist_iana_reserved","536 870 912","536 870 912","100.00%","86.67%"
"reputation","iblocklist_fornonlancomputers","302 055 424","302 055 424","100.00%","48.76%"
"unroutable","iblocklist_iana_multicast","268 435 456","268 435 456","100.00%","43.33%"
"unroutable","iblocklist_iana_private","51 643 646","51 643 390","100.00%","8.34%"
"attacks","et_block","19 458 429","19 369 728","99.54%","3.13%"
"reputation","spamhaus_drop","19 367 168","19 367 168","100.00%","3.13%"
"attacks","iblocklist_spamhaus_drop","19 367 168","19 367 168","100.00%","3.13%"
"attacks","et_spamhaus","19 452 160","19 366 912","99.56%","3.13%"
"reputation","iblocklist_level2","338 030 767","9 535 030","2.82%","1.54%"
"reputation","iblocklist_level3","137 258 471","4 786 250","3.49%","0.77%"
"attacks","firehol_level4","9 274 000","3 145 990","33.92%","0.51%"
"attacks","iblocklist_hijacked","8 802 048","3 145 218","35.73%","0.51%"
"reputation","iblocklist_level1","723 048 434","2 727 934","0.38%","0.44%"
"malware","bbcan177_ms1","5 269 973","2 424 860","46.01%","0.39%"
"reputation","spamhaus_edrop","970 240","970 240","100.00%","0.16%"
"spam","sorbs_zombie","1 903 876","723 968","38.03%","0.12%"
"organizations","iblocklist_edu","227 994 080","607 852","0.27%","0.10%"
"organizations","datacenters","95 959 476","95 960","0.10%","0.02%"
"attacks","firehol_webserver","34 672 992","90 748","0.26%","0.01%"
"reputation","pushing_inertia_blocklist","34 648 204","90 746","0.26%","0.01%"
"spam","sorbs_dul","375 474 210","39 271","0.01%","0.01%"
"organizations","iblocklist_ads","887 838","16 394","1.85%","0.00%"
"abuse","stopforumspam_365d","522 310","8 811","1.69%","0.00%"
"organizations","iblocklist_isp_sprint","6 310 570","8 192","0.13%","0.00%"
"attacks","firehol_level3","41 782","5 663","13.55%","0.00%"
"attacks","dshield_7d","13 056","5 632","43.14%","0.00%"
"attacks","dshield_30d","22 528","5 632","25.00%","0.00%"
"spam","sorbs_web","6 375 029","5 200","0.08%","0.00%"
"attacks","firehol_level2","37 310","5 189","13.91%","0.00%"
"attacks","dshield_1d","6 144","5 120","83.33%","0.00%"
"attacks","dshield","5 120","5 120","100.00%","0.00%"
